logFC	AveExpr	t	P.Value	adj.P.Val	B
SORCS2	-1.40951158849937	7.83331176623464	-5.17654108463653	6.20189264223336e-07	1.38118011779927e-05	5.67910902741657
DTNA	-1.31824252309013	4.76863012220597	-5.12855416893117	7.74305700392406e-07	1.66550050455446e-05	5.4677758239137
FAM19A5	-1.39742914624498	5.31059445370855	-5.10190854056449	8.75332266351256e-07	1.84086421267001e-05	5.35105082679742
SPEG	-1.30701738225863	7.28276004995692	-5.09833061686244	8.8983688984367e-07	1.86548946299059e-05	5.33541118165571
GLIS1	-1.22642587867391	4.73557692753256	-5.06459531294029	1.03858324916968e-06	2.12829838604157e-05	5.18834590046905
FLRT2	-1.29908640090022	9.18465057760334	-5.0608435385357	1.05654609495093e-06	2.15848054765433e-05	5.17203490437575
KRT9	-1.48774968939598	4.96957630050831	-5.04234819881305	1.14959890507613e-06	2.31614086856368e-05	5.09175609395629
SCN4B	-1.21938169562064	6.12655039839322	-5.01438717869519	1.3055460157182e-06	2.57774524464438e-05	4.97080463461017
PI15	-1.27931351001178	6.50526156140763	-5.01338321405228	1.31151103363602e-06	2.58697166546076e-05	4.96647103956321
LIMCH1	-1.2434339066317	7.96055176160659	-4.93876172456802	1.83722980863063e-06	3.4538195303844e-05	4.64617881815114
ASPN	-1.35678426219365	8.88294033254648	-4.92755751965467	1.93203054440768e-06	3.60831935910319e-05	4.59839782047771
NEGR1	-1.27066282899099	4.93779434543595	-4.91338588518639	2.05874617925387e-06	3.78495475251072e-05	4.53807862521421
SCG2	-1.36921332735948	4.67585714218514	-4.89148590980132	2.27054150447996e-06	4.09905423455304e-05	4.44512181807631
PPP2R2C	-1.68788810989632	10.0336552787722	-4.86973773665333	2.5016803916356e-06	4.45261599494092e-05	4.35311892049398
MMP11	-1.40128660475904	10.795134973301	-4.85753611314156	2.64116985920529e-06	4.65073542226466e-05	4.30163700875173
CA12	-1.20677684488177	11.8648514125686	-4.85171489240689	2.71034291928901e-06	4.75164409694267e-05	4.27711012023771
RNF128	-1.73988773006264	6.679946969396	-4.8403187306787	2.85087453071717e-06	4.9417626822068e-05	4.22915844509444
LOC84740	-2.45564997112201	5.63051998710067	-4.83021846547758	2.98129992410771e-06	5.14113744879935e-05	4.18673093080592
NAV3	-1.38724928727803	6.02560510932497	-4.82836120378993	3.00590327046368e-06	5.17910407727654e-05	4.17893656870528
NEB	-2.20806555091341	6.71233676194759	-4.75827382675726	4.09235929957773e-06	6.7163422440376e-05	3.88646937681951
ITGBL1	-1.46746451933462	6.62489929844586	-4.71856773627873	4.86722219711294e-06	7.75849168856674e-05	3.72223122340376
SPP1	-1.54948474906968	10.8988410383788	-4.68498047237115	5.63169188576364e-06	8.74297114144382e-05	3.58412853691298
ARTN	-1.22714668554634	7.05157067598049	-4.68246211458061	5.69346483454334e-06	8.80903086958209e-05	3.57380429061181
SFRP4	-2.04489022933315	8.06873053073628	-4.66213238962778	6.21666212102668e-06	9.52286092770276e-05	3.4906176080154
PCDHB2	-1.25471221137773	5.81315861685284	-4.63601473091295	6.95723525791815e-06	0.000104854748152751	3.3841584050086
TMEM63C	-1.43628385367749	6.92994677512447	-4.62495091793608	7.29599367190444e-06	0.000108282497631726	3.33920056190528
TSPAN7	-1.39395479282465	7.81135490810582	-4.6068796071475	7.88379149047312e-06	0.000115465537257324	3.26594717696853
KRT75	-2.34099974376555	8.11774253070977	-4.60597911333586	7.91424543068305e-06	0.000115826833163527	3.26230279122686
ACAN	-1.22990525191225	5.72004938445966	-4.60498026180015	7.94815843769553e-06	0.000116238188517971	3.25826099057051
KCNJ12	-1.35081685798952	5.82476961297757	-4.59887724753069	8.15843168325511e-06	0.000118876299130826	3.23358027961356
CES1	-2.14582958469949	6.18471724949333	-4.59252080452043	8.38313506850087e-06	0.000121544794291544	3.20790179328277
AGT	-1.24703987874046	4.54902131065185	-4.50584609843004	1.21101796100103e-05	0.000164489759818193	2.8605301733566
