k	cluster	item	itemConsensus
518	3	1	TCGA.CQ.A4CB.01	0.92232320497494
519	3	1	TCGA.UF.A7JO.01	0.0168274637857163
520	3	2	TCGA.CQ.6218.01	0.0194050989418149
521	3	2	TCGA.BA.5558.01	0.0156366871127406
522	3	2	TCGA.CV.6948.01	0.022945372951643
523	3	2	TCGA.CV.7409.01	0.379801868607885
524	3	2	TCGA.CQ.6220.01	0.0187377373161339
525	3	2	TCGA.CN.4731.01	0.0206300092630728
526	3	2	TCGA.CQ.6223.01	0.0211489775281218
527	3	2	TCGA.CV.5436.01	0.0198946980860475
528	3	2	TCGA.CQ.5324.01	0.02090653676903
529	3	2	TCGA.CN.4726.01	0.0190940735493869
530	3	2	TCGA.CR.7369.01	0.0217030540694795
531	3	2	TCGA.CV.7252.01	0.0216551067669629
532	3	2	TCGA.CV.A464.01	0.0189276741001383
533	3	2	TCGA.CX.7219.01	0.0191031914529002
534	3	2	TCGA.HD.7754.01	0.0145915674523335
535	3	2	TCGA.CV.7095.01	0.021385749404468
536	3	2	TCGA.P3.A5Q6.01	0.0148754864449584
537	3	2	TCGA.CV.7178.01	0.020706963462512
538	3	2	TCGA.BA.A6D8.01	0.0173656918181747
539	3	2	TCGA.BA.6872.01	0.0150121667782663
540	3	2	TCGA.CN.4728.01	0.0157412912312695
541	3	2	TCGA.CN.4740.01	0.0137058961870753
542	3	2	TCGA.CN.5364.01	0.0162578411997394
543	3	2	TCGA.CN.6016.01	0.0166369930967532
544	3	2	TCGA.CN.6018.01	0.0186252515174003
545	3	2	TCGA.CN.6994.01	0.0105444558193835
546	3	2	TCGA.CN.A63V.01	0.00887197097597001
547	3	2	TCGA.CQ.5326.01	0.0148740559835514
548	3	2	TCGA.CQ.5332.01	0.014855912777627
549	3	2	TCGA.CQ.6227.01	0.021068177522729
550	3	2	TCGA.CQ.6228.01	0.0139948719077185
551	3	2	TCGA.CQ.7069.01	0.0129470875748021
552	3	2	TCGA.CQ.7072.01	0.0163774453625661
553	3	2	TCGA.CQ.A4CI.01	0.022317094123601
554	3	2	TCGA.CR.5247.01	0.00900292355154058
555	3	2	TCGA.CR.6484.01	0.017156049456033
556	3	2	TCGA.CR.7365.01	0.0165052574569181
557	3	2	TCGA.CR.7367.01	0.015310090002707
558	3	2	TCGA.CV.6937.01	0.0144538404301064
559	3	2	TCGA.CV.7090.01	0.0168816282650582
560	3	2	TCGA.CV.7097.01	0.0170995699275647
561	3	2	TCGA.CV.7102.01	0.0143432957103732
562	3	2	TCGA.CV.7263.01	0.0120925772146811
